Kxx,Mxx
2.06E-13,0
1.54E-04,2277
3.08E-04,3225
4.61E-04,4005
6.15E-04,4730
7.69E-04,5420
9.23E-04,5944
1.08E-03,6237
1.23E-03,6443
1.38E-03,6590
1.54E-03,6717
1.97E-03,6921
2.40E-03,7039
2.83E-03,7088
3.25E-03,7110
3.68E-03,7129
4.11E-03,7151
4.54E-03,7213
4.97E-03,7282
5.40E-03,7353
5.83E-03,7420
6.26E-03,7487
6.69E-03,7553
7.12E-03,7613
7.55E-03,7666
7.97E-03,7716
8.40E-03,7758
8.83E-03,7794
9.26E-03,7825
9.69E-03,7849
1.01E-02,7872
,
